2024-07-23 07:14:39 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2024-07-23 07:14:39 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:39 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:39 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-07-23 07:14:39 configure libssh2-1:amd64 1.10.0-3+b1 <none>
2024-07-23 07:14:39 status unpacked libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:39 status half-configured libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:39 status installed libssh2-1:amd64 1.10.0-3+b1
2024-07-23 07:14:39 configure libkrb5-3:amd64 1.20.1-2+deb12u2 <none>
2024-07-23 07:14:39 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:39 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:39 status installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:39 configure openssl:amd64 3.0.13-1~deb12u1 <none>
2024-07-23 07:14:39 status unpacked openssl:amd64 3.0.13-1~deb12u1
2024-07-23 07:14:39 status half-configured openssl:amd64 3.0.13-1~deb12u1
2024-07-23 07:14:39 status installed openssl:amd64 3.0.13-1~deb12u1
2024-07-23 07:14:39 configure readline-common:all 8.2-1.3 <none>
2024-07-23 07:14:39 status unpacked readline-common:all 8.2-1.3
2024-07-23 07:14:39 status half-configured readline-common:all 8.2-1.3
2024-07-23 07:14:39 status installed readline-common:all 8.2-1.3
2024-07-23 07:14:39 configure libreadline8:amd64 8.2-1.3 <none>
2024-07-23 07:14:39 status unpacked libreadline8:amd64 8.2-1.3
2024-07-23 07:14:39 status half-configured libreadline8:amd64 8.2-1.3
2024-07-23 07:14:39 status installed libreadline8:amd64 8.2-1.3
2024-07-23 07:14:39 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2024-07-23 07:14:39 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:39 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:39 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-07-23 07:14:39 configure ca-certificates:all 20230311 <none>
2024-07-23 07:14:39 status unpacked ca-certificates:all 20230311
2024-07-23 07:14:39 status half-configured ca-certificates:all 20230311
2024-07-23 07:14:40 status installed ca-certificates:all 20230311
2024-07-23 07:14:40 status triggers-pending ca-certificates:all 20230311
2024-07-23 07:14:40 configure libgssapi-krb5-2:amd64 1.20.1-2+deb12u2 <none>
